flag_URL,host_country,event,year,artist_country,artist,song,rank,total_points
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Millstreet ,1993,Ireland,Niamh Kavanagh,In Your Eyes,1,187
https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg,Sweden,Malmö ,1992,Ireland,Linda Martin,Why Me,1,155
NA,Yugoslavia,Zagreb ,1990,Ireland,Liam Reilly,Somewhere In Europe,2,132
https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,Belgium,Brussels ,1987,Ireland,Johnny Logan,Hold Me Now,1,172
https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg,Luxembourg,Luxembourg ,1984,Ireland,Linda Martin,Terminal '3',2,137
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,The Hague ,1980,Ireland,Johnny Logan,What's Another Year,1,143
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,London ,1977,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,3,119
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Amsterdam ,1970,Ireland,Dana,All Kinds Of Everything,1,32
https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,Austria,Vienna ,1967,Ireland,Sean Dunphy,If I Could Choose,2,22
https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Portugal.svg,Portugal,Lisbon ,2018,Israel,Netta,TOY,1,529
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Birmingham ,1998,Israel,Dana International,Diva,1,172
https://upload.wikimedia.org/wikipedia/en/0/03/Flag_of_Italy.svg,Italy,Rome ,1991,Israel,Duo Datz,Kan,3,139
https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany,Munich ,1983,Israel,Ofra Haza,Hi,2,136
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Harrogate ,1982,Israel,Avi Toledano,Hora,2,100
https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel,Jerusalem ,1979,Israel,Milk and Honey,Hallelujah,1,125
https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg,France,Paris ,1978,Israel,Izhar Cohen and the Alphabeta,Abanibi,1,157
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Rotterdam ,2021,Italy,Måneskin,Zitti E Buoni,1,524
https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel,Tel Aviv ,2019,Italy,Mahmood,Soldi,2,472
https://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_Austria.svg,Austria,Vienna ,2015,Italy,Il Volo,Grande Amore,3,292
https://upload.wikimedia.org/wikipedia/en/b/ba/Flag_of_Germany.svg,Germany,Düsseldorf ,2011,Italy,Raphael Gualazzi,Madness Of Love,2,189
NA,Yugoslavia,Zagreb ,1990,Italy,Toto Cutugno,Insieme: 1992,1,149
https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Belgium_%28civil%29.svg,Belgium,Brussels ,1987,Italy,Umberto Tozzi and Raf,Gente Di Mare,3,103
